timestamp,state,district,temperature,humidity,pressure,wind_speed,cloudiness,weather,description
2026-09-12 14:15:46.482573,Telangana,Adilabad,24.55,95,1006,5.84,100,Rain,moderate rain
2026-09-12 14:15:47.518743,Telangana,Bhadradri Kothagudem,25.06,90,1008,1.72,100,Rain,light rain
2026-09-12 14:15:48.547979,Telangana,Hyderabad,25.1,88,1009,3.6,100,Clouds,overcast clouds
2026-09-12 14:15:49.583171,Telangana,Jagtial,24.2,94,1007,4.34,100,Clouds,overcast clouds
2026-09-12 14:15:50.622144,Telangana,Jayashankar Bhupalapally,24.1,94,1008,3.35,100,Rain,light rain
2026-09-12 14:15:51.658319,Telangana,Karimnagar,24.85,92,1007,3.71,100,Clouds,overcast clouds
2026-09-12 14:15:52.691683,Telangana,Khammam,25.77,88,1008,1.23,100,Clouds,overcast clouds
2026-09-12 14:15:53.732603,Telangana,Mahabubnagar,24.58,80,1008,2.39,100,Clouds,overcast clouds
2026-09-12 14:15:54.771162,Telangana,Medak,24.67,94,1008,2.05,100,Clouds,overcast clouds
2026-09-12 14:15:55.825637,Telangana,Nalgonda,26.45,80,1008,1.52,100,Rain,light rain
2026-09-12 14:15:56.859766,Telangana,Nizamabad,24.13,96,1008,3.78,100,Rain,light rain
2026-09-12 14:15:57.898076,Telangana,Rangareddy,26.04,78,1010,1.54,100,Clouds,overcast clouds
2026-09-12 14:15:58.932873,Telangana,Sangareddy,24.77,90,1009,0.37,100,Rain,light rain
2026-09-12 14:15:59.971515,Telangana,Siddipet,24.45,91,1008,4.8,100,Clouds,overcast clouds
2026-09-12 14:16:01.010952,Telangana,Suryapet,26.29,84,1008,0.32,100,Rain,light rain
2026-09-12 14:16:02.054687,Telangana,Vikarabad,23.81,89,1009,2.76,100,Rain,light rain
2026-09-12 14:16:03.093464,Telangana,Warangal,24.87,90,1008,2.85,100,Clouds,overcast clouds
2026-09-12 14:16:04.126582,Telangana,Yadadri Bhuvanagiri,25.2,86,1009,2.79,100,Clouds,overcast clouds
2026-09-12 14:16:05.156717,Andhra Pradesh,Anantapur,33.07,33,1006,5.18,68,Clouds,broken clouds
2026-09-12 14:16:06.196189,Andhra Pradesh,Anakapalli,25.97,88,1008,1.6,100,Clouds,overcast clouds
2026-09-12 14:16:07.224581,Andhra Pradesh,Bapatla,28.19,83,1007,1.96,100,Rain,light rain
2026-09-12 14:16:08.261425,Andhra Pradesh,Chittoor,30.91,64,1007,6.33,100,Rain,light rain
2026-09-12 14:16:09.296945,Andhra Pradesh,East Godavari,25.05,94,1008,4.12,100,Rain,light rain
2026-09-12 14:16:10.340322,Andhra Pradesh,Eluru,26.0,87,1007,3.06,100,Clouds,overcast clouds
2026-09-12 14:16:11.366903,Andhra Pradesh,Guntur,27.11,86,1007,0.89,100,Clouds,overcast clouds
2026-09-12 14:16:12.402819,Andhra Pradesh,Kakinada,26.41,88,1008,1.75,100,Clouds,overcast clouds
2026-09-12 14:16:13.436369,Andhra Pradesh,Krishna,27.37,85,1008,1.71,100,Rain,light rain
